Authors,Article Title,Source Title,Author Keywords,Keywords Plus,"Times Cited, WoS Core","Times Cited, All Databases",Publisher,Publisher City,Publication Year,DOI Link,Research Areas
"O'Doherty, JE; Lebedev, MA; Ifft, PJ; Zhuang, KZ; Shokur, S; Bleuler, H; Nicolelis, MAL",Active tactile exploration using a brain-machine-brain interface,NATURE,,CORTICAL CONTROL; CORTEX; ARM; NEURONS; STIMULATION; GRIP; SKIN,456,567,NATURE PUBLISHING GROUP,LONDON,2011,http://dx.doi.org/10.1038/nature10489,Science & Technology - Other Topics
"Flesher, SN; Downey, JE; Weiss, JM; Hughes, CL; Herrera, AJ; Tyler-Kabara, EC; Boninger, ML; Collinger, JL; Gaunt, RA",A brain-computer interface that evokes tactile sensations improves robotic arm control,SCIENCE,,CORTICAL CONTROL; MOTOR; PERFORMANCE; REPRESENTATION; RESTORATION; STIMULATION; TETRAPLEGIA; EXPERIENCE; PRIORITIES,393,484,AMER ASSOC ADVANCEMENT SCIENCE,WASHINGTON,2021,http://dx.doi.org/10.1126/science.abd0380,Science & Technology - Other Topics
"Kao, JC; Nuyujukian, P; Ryu, SI; Churchland, MM; Cunningham, JP; Shenoy, KV",Single-trial dynamics of motor cortex and their applications to brain-machine interfaces,NATURE COMMUNICATIONS,,CORTICAL CONTROL; TRANSIENT DYNAMICS; FEEDBACK-CONTROL; SPIKING ACTIVITY; NEURAL-CONTROL; ARM; ENSEMBLE; PREMOTOR; HUMANS; MODELS,136,190,NATURE PUBLISHING GROUP,LONDON,2015,http://dx.doi.org/10.1038/ncomms8759,Science & Technology - Other Topics
"Tan, D; Nijholt, A",Brain-Computer Interfaces and Human-Computer Interaction,BRAIN-COMPUTER INTERFACES: APPLYING OUR MINDS TO HUMAN-COMPUTER INTERACTION,,COMMUNICATION,136,164,SPRINGER,DORDRECHT,2010,http://dx.doi.org/10.1007/978-1-84996-272-8_1,Computer Science
"Makin, TR; Flor, H",Brain (re)organisation following amputation: Implications for phantom limb pain,NEUROIMAGE,Neuroimaging; Cortical reorganisation; Phantom limb pain; Preserved function; Multivariate analysis; Pain treatment; Use-dependent plasticity,PRIMARY SOMATOSENSORY CORTEX; LARGE-SCALE REORGANIZATION; PRIMARY MOTOR CORTEX; CORTICAL REORGANIZATION; SOMATOTOPIC ORGANIZATION; SENSORIMOTOR CORTEX; MIRROR THERAPY; TOPOGRAPHIC REORGANIZATION; HAND REPRESENTATION; DIGIT SOMATOTOPY,125,147,ACADEMIC PRESS INC ELSEVIER SCIENCE,SAN DIEGO,2020,http://dx.doi.org/10.1016/j.neuroimage.2020.116943,"Neurosciences & Neurology; Radiology, Nuclear Medicine & Medical Imaging"
"Schwemmer, MA; Skomrock, ND; Sederberg, PB; Ting, JE; Sharma, G; Bockbrader, MA; Friedenberg, DA",Meeting brain-computer interface user performance expectations using a deep neural network decoding framework,NATURE MEDICINE,,MACHINE INTERFACES; MUSCLE STIMULATION; POTENTIAL USERS; WANT OPINIONS; PRIORITIES; TETRAPLEGIA; COMMUNICATION; MOVEMENTS; RELEASE; GRASP,123,145,NATURE PORTFOLIO,BERLIN,2018,http://dx.doi.org/10.1038/s41591-018-0171-y,Biochemistry & Molecular Biology; Cell Biology; Research & Experimental Medicine
"Jin, J; Chen, ZM; Xu, R; Miao, YY; Wang, XY; Jung, TP",Developing a Novel Tactile P300 Brain-Computer Interface With a Cheeks-Stim Paradigm,IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,Electroencephalography; Electrodes; Visualization; Feature extraction; Wrist; Vibrations; Band-pass filters; Brain-computer interface (BCI); cheeks; P300; vibrotactile stimuli,BCI; SSVEP; REPRESENTATION; PROSTHESIS; MOTOR,101,107,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,PISCATAWAY,2020,http://dx.doi.org/10.1109/TBME.2020.2965178,Engineering
"Shimoda, K; Nagasaka, Y; Chao, ZC; Fujii, N",Decoding continuous three-dimensional hand trajectories from epidural electrocorticographic signals in Japanese macaques,JOURNAL OF NEURAL ENGINEERING,,BRAIN-COMPUTER-INTERFACE; MOTOR CORTEX STIMULATION; CORTICAL STIMULATION; FINGER MOVEMENTS; NEUROPATHIC PAIN; TISSUE-RESPONSE; COMPLICATIONS; EEG; REPRESENTATION; REMOVAL,90,103,IOP PUBLISHING LTD,BRISTOL,2012,http://dx.doi.org/10.1088/1741-2560/9/3/036015,Engineering; Neurosciences & Neurology
"Marchesotti, S; Bassolino, M; Serino, A; Bleuler, H; Blanke, O",Quantifying the role of motor imagery in brain-machine interfaces,SCIENTIFIC REPORTS,,COMPUTER INTERFACE; MENTAL PRACTICE; WORKING-MEMORY; MOVEMENT; CORTEX; CLASSIFICATION; TRIAL; REAL; EXCITABILITY; PERFORMANCE,85,94,NATURE PORTFOLIO,BERLIN,2016,http://dx.doi.org/10.1038/srep24076,Science & Technology - Other Topics
"Johnson, LA; Wander, JD; Sarma, D; Su, DK; Fetz, EE; Ojemann, JG",Direct electrical stimulation of the somatosensory cortex in humans using electrocorticography electrodes: a qualitative and quantitative report,JOURNAL OF NEURAL ENGINEERING,,TRANSCRANIAL MAGNETIC STIMULATION; THETA-BURST STIMULATION; MOTOR CORTEX; EVOKED POTENTIALS; SENSORIMOTOR CORTEX; PAIN THRESHOLDS; PERCEPTION; MICROSTIMULATION; BRAIN; REPRESENTATION,79,110,IOP PUBLISHING LTD,BRISTOL,2013,http://dx.doi.org/10.1088/1741-2560/10/3/036021,Engineering; Neurosciences & Neurology
"Osuagwu, BCA; Wallace, L; Fraser, M; Vuckovic, A",Rehabilitation of hand in subacute tetraplegic patients based on brain computer interface and functional electrical stimulation: a randomised pilot study,JOURNAL OF NEURAL ENGINEERING,brain computer interface; functional electrical stimulation; tetraplegia; rehabilitation; hand,SPINAL-CORD-INJURY; CHRONIC STROKE; NEUROPATHIC PAIN; REORGANIZATION; DYNAMICS; BCI,76,85,IOP Publishing Ltd,BRISTOL,2016,http://dx.doi.org/10.1088/1741-2560/13/6/065002,Engineering; Neurosciences & Neurology
"Donati, ARC; Shokur, S; Morya, E; Campos, DSF; Moioli, RC; Gitti, CM; Augusto, PB; Tripodi, S; Pires, CG; Pereira, GA; Brasil, FL; Gallo, S; Lin, AA; Takigami, AK; Aratanha, MA; Joshi, S; Bleuler, H; Cheng, G; Rudolph, A; Nicolelis, MAL",Long-Term Training with a Brain-Machine Interface-Based Gait Protocol Induces Partial Neurological Recovery in Paraplegic Patients,SCIENTIFIC REPORTS,,SPINAL-CORD-INJURY; COMPUTER INTERFACE; MOTOR IMAGERY; BODY SCHEMA; WALKING; HAND; PAIN; STIMULATION; RELIABILITY; VALIDITY,75,135,NATURE PORTFOLIO,BERLIN,2016,http://dx.doi.org/10.1038/srep30383,Science & Technology - Other Topics
"Pandarinath, C; Ames, KC; Russo, AA; Farshchian, A; Miller, LE; Dyer, EL; Kao, JC",Latent Factors and Dynamics in Motor Cortex and Their Application to Brain-Machine Interfaces,JOURNAL OF NEUROSCIENCE,motor control; motor cortex; dynamical systems; brain-machine interfaces; neural population dynamics; machine learning,NEURAL STATE-SPACE; ARM MOVEMENTS; CORTICAL ACTIVITY; POPULATION-DYNAMICS; ALPHA-MOTONEURONES; GAUSSIAN-PROCESS; PREMOTOR CORTEX; CELL DISCHARGE; DIRECTION; NEURONS,69,99,SOC NEUROSCIENCE,WASHINGTON,2018,http://dx.doi.org/10.1523/JNEUROSCI.1669-18.2018,Neurosciences & Neurology
"Michelson, NJ; Eles, JR; Vazquez, AL; Ludwig, KA; Kozai, TDY","Calcium activation of cortical neurons by continuous electrical stimulation: Frequency dependence, temporal fidelity, and activation density",JOURNAL OF NEUROSCIENCE RESEARCH,bioelectric medicine; brain-computer interface; deep brain stimulation; microstimulation; neuroprosthetics,DEEP BRAIN-STIMULATION; IN-VIVO; INTRACORTICAL MICROSTIMULATION; PAIN REDUCTION; PARKINSONS-DISEASE; NEURAL ELECTRODES; VISUAL-CORTEX; MESSENGER-RNA; TISSUE; MOTOR,67,79,WILEY,HOBOKEN,2019,http://dx.doi.org/10.1002/jnr.24370,Neurosciences & Neurology
"Zhang, QS; Hu, SL; Talay, R; Xiao, ZD; Rosenberg, D; Liu, YL; Sun, GH; Li, AN; Caravan, B; Singh, A; Gould, JD; Chen, ZS; Wang, J",A prototype closed-loop brain-machine interface for the study and treatment of pain,NATURE BIOMEDICAL ENGINEERING,,ANTERIOR CINGULATE CORTEX; MEDIAL PREFRONTAL CORTEX; NEUROPATHIC PAIN; MOTOR CORTEX; ELECTRICAL-STIMULATION; THALAMIC-STIMULATION; AFFECTIVE COMPONENT; CORTICAL CONTROL; GRAY-MATTER; FACIAL-PAIN,65,73,NATURE PORTFOLIO,BERLIN,2023,http://dx.doi.org/10.1038/s41551-021-00736-7,Engineering
"Sburlea, AI; Montesano, L; Minguez, J",Continuous detection of the self-initiated walking pre-movement state from EEG correlates without session-to-session recalibration,JOURNAL OF NEURAL ENGINEERING,BCI; motor intention; rehabilitation; session-to-session transfer; MRCP; ERD,EVENT-RELATED DESYNCHRONIZATION; CORTICAL POTENTIALS; MOTOR-IMAGERY; CHRONIC STROKE; GAIT; REHABILITATION; CLASSIFICATION; (DE)SYNCHRONIZATION; INTERFACE; RHYTHMS,62,64,IOP PUBLISHING LTD,BRISTOL,2015,http://dx.doi.org/10.1088/1741-2560/12/3/036007,Engineering; Neurosciences & Neurology
"Abdalmalak, A; Milej, D; Norton, L; Debicki, DB; Gofton, T; Diop, M; Owen, AM; Lawrence, KS",Single-session communication with a locked-in patient by functional near-infrared spectroscopy,NEUROPHOTONICS,functional near-infrared spectroscopy; time-resolved measurements; Guillain-Barre syndrome; motor imagery; brain-computer interface,OPTICAL-PROPERTIES; VEGETATIVE STATE; BRAIN ACTIVITY; SENSITIVITY; DISORDERS; ARTIFACTS; AWARENESS; DETECT,58,65,SPIE-SOC PHOTO-OPTICAL INSTRUMENTATION ENGINEERS,BELLINGHAM,2017,http://dx.doi.org/10.1117/1.NPh.4.4.040501,Neurosciences & Neurology; Optics
"Jang, YY; Kim, TH; Lee, BH",Effects of Brain-Computer Interface-controlled Functional Electrical Stimulation Training on Shoulder Subluxation for Patients with Stroke: A Randomized Controlled Trial,OCCUPATIONAL THERAPY INTERNATIONAL,brain-computer interface; rehabilitation; shoulder subluxation; stroke,MODIFIED ASHWORTH SCALE; POSTSTROKE SPASTICITY; HEMIPLEGIC PATIENTS; PAIN; RELIABILITY; RECOVERY; REHABILITATION; FEASIBILITY; EFFICACY; GAIT,57,71,WILEY-HINDAWI,LONDON,2016,http://dx.doi.org/10.1002/oti.1422,Rehabilitation
"Bruurmijn, MLCM; Pereboom, IPL; Vansteensel, MJ; Raemaekers, MAH; Ramsey, NF",Preservation of hand movement representation in the sensorimotor areas of amputees,BRAIN,amputee; sensorimotor cortex; functional MRI; hand representation,PRIMARY MOTOR CORTEX; SOMATOSENSORY CORTEX; PHANTOM LIMB; FUNCTIONAL SOMATOTOPY; REORGANIZATION; FMRI; AMPUTATION; SYSTEM; PAIN; PLASTICITY,54,60,OXFORD UNIV PRESS,OXFORD,2017,http://dx.doi.org/10.1093/brain/awx274,Neurosciences & Neurology
"Downey, JE; Brane, L; Gaunt, RA; Tyler-Kabara, EC; Boninger, ML; Collinger, JL",Motor cortical activity changes during neuroprosthetic-controlled object interaction,SCIENTIFIC REPORTS,,FREE ARM MOVEMENTS; SPINAL-CORD-INJURY; 3-DIMENSIONAL SPACE; VISUAL TARGETS; FUNCTIONAL PRIORITIES; CORTEX NEURONS; HAND; REPRESENTATION; GRASP; PREMOTOR,48,63,NATURE PORTFOLIO,BERLIN,2017,http://dx.doi.org/10.1038/s41598-017-17222-3,Science & Technology - Other Topics
"Irwin, ZT; Schroeder, KE; Vu, PP; Bullard, AJ; Tat, DM; Nu, CS; Vaskov, A; Nason, SR; Thompson, DE; Bentley, JN; Patil, PG; Chestek, CA",Neural control of finger movement via intracortical brain-machine interface,JOURNAL OF NEURAL ENGINEERING,brain-machine interface; finger movement; intracortical recording; closed-loop control,MOTOR CORTICAL DISCHARGE; GRASP; REACH; HAND; ARM; INDEPENDENCE; TETRAPLEGIA; ENVIRONMENT; PROSTHESIS; KINEMATICS,44,58,IOP PUBLISHING LTD,BRISTOL,2017,http://dx.doi.org/10.1088/1741-2552/aa80bd,Engineering; Neurosciences & Neurology
"Hughes, C; Herrera, A; Gaunt, R; Collinger, J",Bidirectional brain-computer interfaces,BRAIN-COMPUTER INTERFACES,,REACH-TO-GRASP; ELECTRICAL-STIMULATION; INTRACORTICAL MICROSTIMULATION; SOMATOSENSORY CORTEX; OBJECT MANIPULATION; CORTICAL CONTROL; MOTOR CORTEX; ELECTROCORTICOGRAPHIC SIGNALS; MACHINE INTERFACES; NEURONAL ENSEMBLE,41,53,ELSEVIER,AMSTERDAM,2020,http://dx.doi.org/10.1016/B978-0-444-63934-9.00013-5,Computer Science; Engineering; Neurosciences & Neurology; Rehabilitation
"Shokur, S; Donati, ARC; Campos, DSF; Gitti, C; Bao, G; Fischer, D; Almeida, S; Braga, VAS; Augusto, P; Petty, C; Alho, EJL; Lebedev, M; Song, AW; Nicolelis, MAL","Training with brain-machine interfaces, visuotactile feedback and assisted locomotion improves sensorimotor, visceral, and psychological signs in chronic paraplegic patients",PLOS ONE,,SPINAL-CORD-INJURY; MOTOR CORTEX STIMULATION; SACRAL NERVE-STIMULATION; OPEN-SOURCE SOFTWARE; QUALITY-OF-LIFE; COMPUTER INTERFACES; NEUROGENIC BLADDER; NEUROPATHIC PAIN; RECOVERY; REHABILITATION,40,41,PUBLIC LIBRARY SCIENCE,SAN FRANCISCO,2018,http://dx.doi.org/10.1371/journal.pone.0206464,Science & Technology - Other Topics
"Collinger, JL; Gaunt, RA; Schwartz, AB",Progress towards restoring upper limb movement and sensation through intracortical brain-computer interfaces,CURRENT OPINION IN BIOMEDICAL ENGINEERING,Motor; Somatosensory; Bidirectional; Brain-computer interface; Neuroprosthetics,,39,50,ELSEVIER,AMSTERDAM,2018,http://dx.doi.org/10.1016/j.cobme.2018.11.005,Engineering
"Leite, J; Morales-Quezada, L; Carvalho, S; Thibaut, A; Doruk, D; Chen, CF; Schachter, SC; Rotenberg, A; Fregni, F",Surface EEG-Transcranial Direct Current Stimulation (tDCS) Closed-Loop System,INTERNATIONAL JOURNAL OF NEURAL SYSTEMS,EEG-tDCS closed-loop system; EEG algorithm; cognitive task; proof-of-concept,NONINVASIVE BRAIN-STIMULATION; PRIMARY MOTOR CORTEX; PHANTOM LIMB PAIN; ELECTRICAL-STIMULATION; WORKING-MEMORY; MAGNETIC STIMULATION; COMPUTER INTERFACES; SEIZURE PREDICTION; CLINICAL-TRIAL; EPILEPSY,39,48,WORLD SCIENTIFIC PUBL CO PTE LTD,SINGAPORE,2017,http://dx.doi.org/10.1142/S0129065717500265,Computer Science
"Li, FC; Zhang, D; Chen, J; Tang, K; Li, XM; Hou, ZM",Research hotspots and trends of brain-computer interface technology in stroke: a bibliometric study and visualization analysis,FRONTIERS IN NEUROSCIENCE,brain-computer interface; stroke; bibliometric; visualization analysis; VOSviewer; CiteSpace,MACHINE INTERFACES; BCI SYSTEM; NEUROREHABILITATION; REHABILITATION; COMMUNICATION; FEEDBACK; SCIENCE; PAIN; LIMB,36,36,FRONTIERS MEDIA SA,LAUSANNE,2023,http://dx.doi.org/10.3389/fnins.2023.1243151,Neurosciences & Neurology
"Leeb, R; Pérez-Marcos, DP",Brain-computer interfaces and virtual reality for neurorehabilitation,BRAIN-COMPUTER INTERFACES,,MOTOR IMAGERY; CORTICAL REORGANIZATION; CHRONIC STROKE; MACHINE INTERFACE; BCI; REHABILITATION; RECOVERY; PAIN; COMMUNICATION; FRAMEWORK,35,42,ELSEVIER,AMSTERDAM,2020,http://dx.doi.org/10.1016/B978-0-444-63934-9.00014-7,Computer Science; Engineering; Neurosciences & Neurology; Rehabilitation
"Scandola, M; Aglioti, SM; Pozeg, P; Avesani, R; Moro, V","Motor imagery in spinal cord injured people is modulated by somatotopic coding, perspective taking, and post-lesional chronic pain",JOURNAL OF NEUROPSYCHOLOGY,spinal cord injury; motor imagery; somatotopic plasticity; perspective taking; chronic pain,NEUROPATHIC PAIN; INTERNATIONAL STANDARDS; MENTAL ROTATION; ITALIAN VERSION; BODY SCHEMA; BRAIN; MOVEMENTS; REPRESENTATIONS; CLASSIFICATION; REORGANIZATION,34,37,WILEY,HOBOKEN,2017,http://dx.doi.org/10.1111/jnp.12098,Psychology
"Sorger, B; Goebel, R",Real-time fMRI for brain-computer interfacing,BRAIN-COMPUTER INTERFACES,,RESONANCE-IMAGING NEUROFEEDBACK; CORTEX ACTIVITY; FUNCTIONAL MRI; REDUCTION; PAIN; ACTIVATION; THOUGHT; IMAGERY; EPI,33,44,ELSEVIER,AMSTERDAM,2020,http://dx.doi.org/10.1016/B978-0-444-63934-9.00021-4,Computer Science; Engineering; Neurosciences & Neurology; Rehabilitation
"Chen, D; Zhang, HH; Kavitha, PT; Loy, FL; Ng, SH; Wang, CC; Phua, KS; Tjan, SY; Yang, SY; Guan, CT",Scalp EEG-Based Pain Detection Using Convolutional Neural Network,IEEE TRANSACTIONS ON NEURAL SYSTEMS AND REHABILITATION ENGINEERING,Pain; Electroencephalography; Task analysis; Convolutional neural networks; Machine learning; Brain modeling; IEEE transactions; Pain detection; chronic pain; EEG; CNN,CLASSIFICATION,28,34,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,PISCATAWAY,2022,http://dx.doi.org/10.1109/TNSRE.2022.3147673,Engineering; Rehabilitation
"Zhang, SY; Yoshida, W; Mano, H; Yanagisawa, T; Mancini, F; Shibata, K; Kawato, M; Seymour, B",Pain Control by Co-adaptive Learning in a Brain-Machine Interface,CURRENT BIOLOGY,,FMRI NEUROFEEDBACK; EMOTION REGULATION; OFFSET ANALGESIA; PERCEPTION; SYSTEM; REAL; CONNECTIVITY; INFORMATION; ACTIVATION; MECHANISM,27,30,CELL PRESS,CAMBRIDGE,2020,http://dx.doi.org/10.1016/j.cub.2020.07.066,Biochemistry & Molecular Biology; Life Sciences & Biomedicine - Other Topics; Cell Biology
"Ding, KQ; Dragomir, A; Bose, R; Osborn, LE; Seet, MS; Bezerianos, A; Thakor, N",Towards machine to brain interfaces: sensory stimulation enhances sensorimotor dynamic functional connectivity in upper limb amputees,JOURNAL OF NEURAL ENGINEERING,sensory stimulation; EEG; functional connectivity; temporal dynamics; sensorimotor processing,NEURAL ACTIVITY; MOTOR; NETWORK; INTEGRATION; CORTEX; PREMOTOR; INFORMATION; EXECUTION; AREAS; HAND,27,28,IOP Publishing Ltd,Bristol,2020,http://dx.doi.org/10.1088/1741-2552/ab882d,Engineering; Neurosciences & Neurology
"Sreeja, SR; Himanshu; Samanta, D",Distance-based weighted sparse representation to classify motor imagery EEG signals for BCI applications,MULTIMEDIA TOOLS AND APPLICATIONS,Electroencephalography (EEG); Brain computer interface (BCI); Motor imagery (MI); Sparsity-based classification; Weighted sparse representation,BRAIN-COMPUTER-INTERFACE; SPATIAL-PATTERNS; NEURAL-NETWORKS; CLASSIFICATION; DECOMPOSITION; ROBUST,27,29,SPRINGER,DORDRECHT,2020,http://dx.doi.org/10.1007/s11042-019-08602-0,Computer Science; Engineering
"Rupp, R",Spinal cord lesions,BRAIN-COMPUTER INTERFACES,,BRAIN-COMPUTER INTERFACES; NEUROPATHIC PAIN; TROSPIUM CHLORIDE; CORTICAL ACTIVITY; QUANTITATIVE EEG; UPPER EXTREMITY; WAVE ACTIVITY; INJURY; PREVALENCE; RESTORATION,27,32,ELSEVIER,AMSTERDAM,2020,http://dx.doi.org/10.1016/B978-0-444-63934-9.00006-8,Computer Science; Engineering; Neurosciences & Neurology; Rehabilitation
"Sreeja, SR; Samanta, D",Classification of multiclass motor imagery EEG signal using sparsity approach,NEUROCOMPUTING,Electroencephalogram; Motor imagery; Brain computer interface; Sparse representation; Sparsity-based classification,BRAIN-COMPUTER-INTERFACE; COMMON SPATIAL-PATTERNS; REPRESENTATION; ALGORITHMS; SELECTION; MACHINE,26,31,ELSEVIER,AMSTERDAM,2019,http://dx.doi.org/10.1016/j.neucom.2019.08.037,Computer Science
"Wang, J; Chen, Z",Neuromodulation for Pain Management,NEURAL INTERFACE: FRONTIERS AND APPLICATIONS,Pain management; Neuromodulation; Brain-computer interfaces; Circuit-based neural signature,DEEP BRAIN-STIMULATION; SPINAL-CORD STIMULATION; MEDIAN-PARAFASCICULAR COMPLEX; MOTOR CORTEX STIMULATION; CHRONIC BACK-PAIN; ANTERIOR CINGULATE; ELECTRICAL-STIMULATION; THALAMIC-STIMULATION; NUCLEUS-ACCUMBENS; AFFECTIVE COMPONENT,26,31,SPRINGER INTERNATIONAL PUBLISHING AG,CHAM,2019,http://dx.doi.org/10.1007/978-981-13-2050-7_8,Engineering; Neurosciences & Neurology
"Vuckovic, A; Wallace, L; Allan, DB",Hybrid Brain-Computer Interface and Functional Electrical Stimulation for Sensorimotor Training in Participants With Tetraplegia: A Proof-of-Concept Study,JOURNAL OF NEUROLOGIC PHYSICAL THERAPY,brain-computer interface; even-related desynchronization; functional electrical stimulation; motor imagery; tetraplegia,SPINAL-CORD-INJURY; MOTOR IMAGERY; NEUROPATHIC PAIN; REORGANIZATION; PLASTICITY; RECOVERY; INDIVIDUALS; CORTEX; BCI,26,35,LIPPINCOTT WILLIAMS & WILKINS,PHILADELPHIA,2015,http://dx.doi.org/10.1097/NPT.0000000000000063,Neurosciences & Neurology; Rehabilitation
"Tayeb, Z; Bose, R; Dragomir, A; Osborn, LE; Thakor, NV; Cheng, G",Decoding of Pain Perception using EEG Signals for a Real-Time Reflex System in Prostheses: A Case Study,SCIENTIFIC REPORTS,,HUMANS,25,31,NATURE PORTFOLIO,BERLIN,2020,http://dx.doi.org/10.1038/s41598-020-62525-7,Science & Technology - Other Topics
"Xia, B; Maysam, O; Veser, S; Cao, L; Li, J; Jia, J; Xie, H; Birbaumer, N",A combination strategy based brain-computer interface for two-dimensional movement control,JOURNAL OF NEURAL ENGINEERING,brain-computer interface; 2-dimensional movement; motor imagery,MENTAL PROSTHESIS; CURSOR CONTROL; BCI; COMMUNICATION; POTENTIALS; HUMANS,25,25,IOP PUBLISHING LTD,BRISTOL,2015,http://dx.doi.org/10.1088/1741-2560/12/4/046021,Engineering; Neurosciences & Neurology
"Di Pino, G; Piombino, V; Carassiti, M; Ortiz-Catalan, M",Neurophysiological models of phantom limb pain: what can be learnt,MINERVA ANESTESIOLOGICA,Phantom limb; Pathophysiology; Neuronal plasticity; Body image,DIRECT-CURRENT STIMULATION; CORTICAL REORGANIZATION; MOTOR CORTEX; RECEPTOR ANTAGONIST; STUMP PAIN; AMPUTATION; PERCEPTION; MEMANTINE; SENSATION; PLASTICITY,24,27,EDIZIONI MINERVA MEDICA,TURIN,2021,http://dx.doi.org/10.23736/S0375-9393.20.15067-3,Anesthesiology; General & Internal Medicine
"Mwata-Velu, T; Ruiz-Pinales, J; Rostro-Gonzalez, H; Ibarra-Manzano, MA; Cruz-Duarte, JM; Avina-Cervantes, JG",Motor Imagery Classification Based on a Recurrent-Convolutional Architecture to Control a Hexapod Robot,MATHEMATICS,brain-computer interface; EEG motor imagery; CNN-LSTM architectures; real-time motion imagery recognition,BRAIN COMPUTER-INTERFACE,22,25,MDPI,BASEL,2021,http://dx.doi.org/10.3390/math9060606,Mathematics
"Mattia, D; Pichiorri, F; Colamarino, E; Masciullo, M; Morone, G; Toppi, J; Pisotta, I; Tamburella, F; Lorusso, M; Paolucci, S; Puopolo, M; Cincotti, F; Molinari, M","The Promotoer, a brain-computer interface-assisted intervention to promote upper limb functional motor recovery after stroke: a study protocol for a randomized controlled trial to test early and long-term efficacy and to identify determinants of response",BMC NEUROLOGY,EEG-based brain-computer interface; Stroke; Hand functional motor recovery; Brain plasticity; Motor learning; Motor imagery; Neurorehabilitation,REHABILITATION; IMPAIRMENT; IMAGERY; RELIABILITY; THERAPY; DESIGN,22,32,BMC,LONDON,2020,http://dx.doi.org/10.1186/s12883-020-01826-w,Neurosciences & Neurology
"Luu, DK; Nguyen, AT; Jiang, M; Drealan, MW; Xu, J; Wu, T; Tam, WK; Zhao, WF; Lim, BZH; Overstreet, CK; Zhao, Q; Cheng, J; Keefer, EW; Yang, Z",Artificial Intelligence Enables Real-Time and Intuitive Control of Prostheses via Nerve Interface,IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,Decoding; Artificial intelligence; Implants; Deep learning; Real-time systems; Prosthetic hand; Electromyography; Artificial intelligence; deep learning; information throughput; information transfer rate; motor decoding; neural decoder; neuroprosthesis; peripheral nerve; reaction time,DEKA ARM; LIMB; OPTIMIZE; SYSTEM; MOTOR,20,29,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,PISCATAWAY,2022,http://dx.doi.org/10.1109/TBME.2022.3160618,Engineering
"Thomschewski, A; Ströhlein, A; Langthaler, PB; Schmid, E; Potthoff, J; Höller, P; Leis, S; Trinka, E; Höller, Y",Imagine There Is No Plegia. Mental Motor Imagery Difficulties in Patients with Traumatic Spinal Cord Injury,FRONTIERS IN NEUROSCIENCE,spinal cord injury (SCI); motor imagery (MI); movement imagination; rehabilitation; neuroprostheses,FUNCTIONAL ELECTRICAL-STIMULATION; BRAIN-COMPUTER INTERFACE; NEUROPATHIC PAIN; DEPRESSION; REHABILITATION; MOVEMENTS; REPRESENTATIONS; NEUROPLASTICITY; CLASSIFICATION; INDIVIDUALS,20,21,FRONTIERS MEDIA SA,LAUSANNE,2017,http://dx.doi.org/10.3389/fnins.2017.00689,Neurosciences & Neurology
"Carra, M; Balbinot, A",Evaluation of Sensorimotor Rhythms to Control a Wheelchair,2013 ISSNIP BIOSIGNALS AND BIOROBOTICS CONFERENCE (BRC),Electroencephalography; Classifier Learning Vector Quantizatio; Brain-Computer Interface (BCI); control wheelchair,,20,27,IEEE,NEW YORK,2013,,Mathematical & Computational Biology; Robotics
"Colamarino, E; Lorusso, M; Pichiorri, F; Toppi, J; Tamburella, F; Serratore, G; Riccio, A; Tomaiuolo, F; Bigioni, A; Giove, F; Scivoletto, G; Cincotti, F; Mattia, D",DiSCIoser: unlocking recovery potential of arm sensorimotor functions after spinal cord injury by promoting activity-dependent brain plasticity by means of brain-computer interface technology: a randomized controlled trial to test efficacy,BMC NEUROLOGY,EEG-based Brain-Computer Interface; Spinal cord injury; Hand functional sensorimotor recovery; Brain plasticity; Motor imagery; Neurorehabilitation,INTERRATER RELIABILITY; MOTOR RECOVERY; SCALE; RESTORATION; INDIVIDUALS; INVENTORY; IMAGERY; VERSION; PEOPLE; PAIN,18,21,BMC,LONDON,2023,http://dx.doi.org/10.1186/s12883-023-03442-w,Neurosciences & Neurology
"Yao, L; Jiang, N; Mrachacz-Kersting, N; Zhu, XY; Farina, D; Wang, YM",Reducing the Calibration Time in Somatosensory BCI by Using Tactile ERD,IEEE TRANSACTIONS ON NEURAL SYSTEMS AND REHABILITATION ENGINEERING,Brain-computer interface (BCI); tactile event-related desynchronization (ERD); somatosensory BCI; imagined sensation,BRAIN-COMPUTER-INTERFACE; COMMON SPATIAL-PATTERNS; STEADY-STATE RESPONSES; MOTOR IMAGERY; ELECTRICAL-STIMULATION; EVOKED POTENTIALS; EEG; (DE)SYNCHRONIZATION; DISCRIMINATION; REHABILITATION,18,18,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,PISCATAWAY,2022,http://dx.doi.org/10.1109/TNSRE.2022.3184402,Engineering; Rehabilitation
